,0
0,Alabama
1,Arkansas
2,Connecticut
3,Delaware
4,Kentucky
5,Louisiana
6,Maine
7,Maryland
8,Massachusetts
9,Michigan
10,Minnesota
11,Missouri
12,New Hampshire
13,Rhode Island
14,South Carolina
15,South Dakota
16,Tennessee
17,Utah
18,West Virginia
19,Wyoming
